Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

2.94399992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.95999992,-0.15748030,0,0,1,1,0,1,0,1,1,0
2.97599992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.99199992,-0.15748030,0,0,1,1,0,1,0,1,1,0
3.00799991,0.00000000,0,0,1,1,0,1,0,1,1,1
3.02399991,0.31557580,0,0,1,1,0,1,0,1,1,1
3.03999991,0.15748030,0,0,1,1,0,1,0,1,1,1
3.05599991,0.00000000,0,0,1,1,0,1,0,1,1,1
3.07199991,0.31557580,0,0,1,1,0,1,0,1,1,1
3.08799991,0.15748030,0,0,0,0,0,1,0,0,1,1
3.10399991,-0.15748030,0,0,0,0,0,1,0,0,1,1
3.11999991,-0.15748030,0,0,0,0,0,1,0,0,1,1
3.13599991,0.15748030,0,0,0,0,0,1,0,0,1,1
3.15199991,0.00000000,0,0,0,0,0,1,0,0,1,1
3.16799991,0.00000000,0,0,0,0,0,1,0,0,1,1
3.18399991,0.00000000,0,0,0,0,0,1,0,0,1,1
3.19999991,0.00000000,0,0,0,0,0,1,0,0,1,1
3.21599991,0.00000000,0,0,0,0,0,1,0,0,1,1
3.23199991,0.00000000,0,0,0,0,0,1,0,0,1,1
3.24799991,0.31557580,0,0,0,0,0,1,0,0,1,1
3.26399991,0.00000000,0,0,0,0,0,1,0,0,1,0
3.27999991,-0.31557580,0,0,0,0,0,1,0,0,1,0
3.29599991,0.00000000,0,0,0,0,0,1,0,0,1,0
3.31199991,0.15748030,0,0,0,0,0,1,0,0,1,0
3.32799991,0.00000000,0,0,0,0,0,1,0,0,1,0
3.34399991,0.00000000,0,0,0,0,0,1,0,0,1,0
3.35999990,0.00000000,0,0,0,0,0,1,0,0,1,0
3.37599990,0.00000000,0,0,0,0,0,1,0,0,1,0
3.39199990,0.00000000,0,0,0,0,0,1,0,0,1,0
3.40799990,-0.15748030,0,0,0,0,0,1,0,0,1,0
